dataset,source_component,hit_index,time_s
10MassNew,x,1,10.660650000
10MassNew,x,2,53.603550000
10MassNew,x,3,93.543450000
10MassNew,x,4,132.582450000
10MassNew,x,5,170.005105221
10MassNew,x,6,176.696994318
10MassNew,x,7,213.663450000
10MassNew,x,8,253.002750000
10MassNew,x,9,290.802750000
10MassNew,x,10,336.786450000
10MassNew,x,11,375.375000000
10MassNew,x,12,411.561150000
10MassNew,x,13,452.101650000
10MassNew,x,14,495.495000000
10MassNew,x,15,531.380850000
10MassNew,x,16,571.518451045
