dataset,source_component,hit_index,time_s
10mass_m4_cropped,x,1,4.954950000
10mass_m4_cropped,x,2,43.453082844
10mass_m4_cropped,x,3,88.888800000
10mass_m4_cropped,x,4,125.864646607
10mass_m4_cropped,x,5,162.232896791
10mass_m4_cropped,x,6,203.002800000
10mass_m4_cropped,x,7,262.011750000
10mass_m4_cropped,x,8,322.522200000
10mass_m4_cropped,x,9,372.221850000
10mass_m4_cropped,x,10,404.353950000
10mass_m4_cropped,x,11,442.835633438
10mass_m4_cropped,x,12,450.299850000
10mass_m4_cropped,x,13,482.134122925
10mass_m4_cropped,x,14,522.972450000
10mass_m4_cropped,x,15,564.864300000
10mass_m4_cropped,x,16,615.464850000
