dataset,source_component,hit_index,time_s
IMG_0586,x,1,26.388963378
IMG_0586,x,2,58.928682658
IMG_0586,x,3,92.100000000
IMG_0586,x,4,124.950000000
IMG_0586,x,5,150.300000000
IMG_0586,x,6,156.900000000
IMG_0586,x,7,185.900680056
IMG_0586,x,8,189.600000000
IMG_0586,x,9,219.949973943
IMG_0586,x,10,223.350000000
IMG_0586,x,11,247.793238894
IMG_0586,x,12,253.200000000
IMG_0586,x,13,260.550000000
IMG_0586,x,14,281.850000000
IMG_0586,x,15,307.169840055
IMG_0586,x,16,333.750000000
IMG_0586,x,17,348.300000000
