hit_index,time_s,strength_peak,strength_integral,broadband_at_peak,prev_gap_s,next_gap_s,window_start_s,window_stop_s,peak_0.414100_Hz,peak_3.357200_Hz,peak_11.319000_Hz,peak_11.988500_Hz,peak_15.943200_Hz,peak_16.776400_Hz,peak_17.904200_Hz,peak_18.421400_Hz
1,31.081050000,0.120580501,0.197845490,0.213557679,,57.207150000,32.081050000,52.081050000,0.001063196,0.001301690,0.000075454,0.000160311,0.000075483,0.000388048,0.000092601,0.000139434
2,88.288200000,0.086849042,0.137828637,0.189642466,57.207150000,62.612550000,89.288200000,109.288200000,0.001404613,0.002509006,0.000148229,0.000030055,0.000117325,0.000198072,0.000187166,0.000171527
3,150.900750000,0.112485290,0.192549876,0.212086266,62.612550000,30.330300000,151.900750000,171.900750000,0.001312648,0.001284536,0.000262988,0.000149288,0.000159074,0.000112178,0.000067038,0.000092809
4,181.231050000,0.147824022,0.227628652,0.284508988,30.330300000,34.084050000,182.231050000,202.231050000,0.000384810,0.003725868,0.000231872,0.000090763,0.000083186,0.000415646,0.000136896,0.000118350
5,215.315100000,0.158491496,0.203582231,0.296996592,34.084050000,33.933900000,216.315100000,236.315100000,0.001433829,0.000925820,0.000153211,0.000176557,0.000308793,0.000262986,0.000212527,0.000319938
6,249.249000000,0.171162514,0.211523277,0.306971940,33.933900000,23.273250000,250.249000000,270.249000000,0.000588587,0.001838159,0.000199312,0.000045521,0.000155440,0.000366658,0.000101757,0.000091105
7,272.522250000,0.227817162,0.395483571,0.396503708,23.273250000,59.008950000,273.522250000,293.522250000,0.001483338,0.000952993,0.000146032,0.000064408,0.000065618,0.000363956,0.000133990,0.000104993
8,331.531200000,0.078122251,0.139215025,0.169846453,59.008950000,32.132100000,332.531200000,352.531200000,0.000203009,0.002014259,0.000232589,0.000109171,0.000144473,0.000175796,0.000041813,0.000122259
9,363.663300000,0.152039926,0.242960613,0.295816576,32.132100000,27.777750000,364.663300000,384.663300000,0.000503602,0.001234998,0.000242291,0.000125693,0.000173240,0.000364116,0.000262592,0.000187548
10,391.441050000,0.088441001,0.144730638,0.232378427,27.777750000,30.030000000,392.441050000,412.441050000,0.000195250,0.001287532,0.000209796,0.000053671,0.000099478,0.000147084,0.000061384,0.000095240
11,421.471050000,0.655472868,0.350461694,0.821358502,30.030000000,30.030000000,422.471050000,442.471050000,0.000351768,0.003915497,0.000175113,0.000135732,0.000079004,0.000354536,0.000141777,0.000065648
12,451.501050000,0.731668955,0.530937331,0.921775166,30.030000000,30.930900000,452.501050000,472.501050000,0.000656561,0.000345546,0.000389103,0.000105246,0.000128493,0.000188265,0.000169864,0.000119250
13,482.431950000,0.163183074,0.226873153,0.328509640,30.930900000,5.705700000,483.431950000,503.431950000,0.000660072,0.001315282,0.000148750,0.000088854,0.000228499,0.000223661,0.000082539,0.000139254
14,488.137650000,0.062442399,0.063538485,0.259350677,5.705700000,23.423400000,489.137650000,509.137650000,0.000858411,0.002961754,0.000215519,0.000112090,0.000144060,0.000217965,0.000205841,0.000143431
15,511.561050000,1.097024222,0.714388517,1.308163134,23.423400000,30.030000000,512.561050000,532.561050000,0.000405760,0.001207981,0.000176090,0.000071045,0.000078940,0.000161797,0.000136277,0.000141836
16,541.591050000,0.551337994,0.294003606,0.726029109,30.030000000,29.729700000,542.591050000,562.591050000,0.000324009,0.002427865,0.000248030,0.000071526,0.000202473,0.000389683,0.000099528,0.000135554
17,571.320750000,0.519003528,0.491507228,0.680728741,29.729700000,,572.320750000,592.320750000,0.001046921,0.001167914,0.000371189,0.000253858,0.000309031,0.000287690,0.000283310,0.000140807
