dataset,component,hit_index,time_s,coherence_loss,coherence_value,energy_value
IMG_0681_rot270,x,1,138.600000000,0.917188416,0.082811584,0.474197071
IMG_0681_rot270,x,2,150.750000000,0.922942397,0.077057603,0.181589268
IMG_0681_rot270,x,3,175.800000000,0.937501235,0.062498765,0.411359993
IMG_0681_rot270,x,4,194.250000000,0.922224731,0.077775269,0.222520667
IMG_0681_rot270,x,5,230.400000000,0.854856946,0.145143054,0.186134441
IMG_0681_rot270,x,6,268.650000000,0.867974391,0.132025609,0.373876843
IMG_0681_rot270,x,7,288.600000000,0.947841934,0.052158066,0.655927223
IMG_0681_rot270,x,8,358.350000000,0.883598835,0.116401165,0.458186205
IMG_0681_rot270,x,9,383.400000000,0.907857846,0.092142154,0.478561793
IMG_0681_rot270,x,10,392.700000000,0.888428605,0.111571395,0.484680183
IMG_0681_rot270,x,11,407.100000000,0.895798533,0.104201467,0.529954576
IMG_0681_rot270,x,12,548.250000000,0.863052708,0.136947292,0.422438039
