dataset,component,hit_index,time_s,strength_peak,strength_integral,broadband_at_peak
IMG_0681_rot270,x,1,45.900000000,0.177454256,0.254767401,0.348020442
IMG_0681_rot270,x,2,139.350000000,0.272282980,0.433032148,0.509520027
IMG_0681_rot270,x,3,174.750000000,0.189588584,0.352004536,0.409496793
IMG_0681_rot270,x,4,232.950000000,0.285705605,0.461891569,0.684273629
IMG_0681_rot270,x,5,287.850000000,0.381361999,0.569007101,0.852892605
IMG_0681_rot270,x,6,348.150000000,0.280549822,0.323064536,0.709699582
IMG_0681_rot270,x,7,359.100000000,0.248183822,0.214049311,0.746507772
IMG_0681_rot270,x,8,373.800000000,0.318314092,0.128822014,0.860067850
IMG_0681_rot270,x,9,382.200000000,0.190175712,0.052280569,0.680592093
IMG_0681_rot270,x,10,420.750000000,0.198158841,0.109335577,0.692877952
IMG_0681_rot270,x,11,447.900000000,0.209460201,0.420293672,0.753854518
IMG_0681_rot270,x,12,479.550000000,0.298865580,0.265830877,1.034513693
IMG_0681_rot270,x,13,496.650000000,0.184336320,0.186508445,0.953583064
IMG_0681_rot270,x,14,527.100000000,0.189857482,0.181942012,0.764114427
IMG_0681_rot270,x,15,533.100000000,0.344814229,0.330391825,0.949433904
IMG_0681_rot270,x,16,540.300000000,0.212995875,0.065829886,0.750053591
IMG_0681_rot270,x,17,552.299999999,0.358130913,0.261949858,0.575290160
