generator_count,observed_freq_hz,generator_rank,relation,source_a_hz,source_b_hz,predicted_hz,error_hz
1,3.354492,1,generator,3.354492,0.000000,3.354492,0.000000
1,6.745605,35,2x,3.354492,0.000000,6.708984,0.036621
1,10.026855,60,3x,3.354492,0.000000,10.063477,0.036621
1,13.432617,36,4x,3.354492,0.000000,13.417969,0.014648
2,0.417480,2,generator,0.417480,0.000000,0.417480,0.000000
2,1.237793,39,3x,0.417480,0.000000,1.252441,0.014648
2,1.677246,34,4x,0.417480,0.000000,1.669922,0.007324
2,2.167969,14,5x,0.417480,0.000000,2.087402,0.080566
2,2.534180,49,6x,0.417480,0.000000,2.504883,0.029297
2,3.054199,12,diff,3.354492,0.417480,2.937012,0.117188
2,3.354492,1,generator,3.354492,0.000000,3.354492,0.000000
2,3.771973,47,sum,3.354492,0.417480,3.771973,0.000000
2,6.745605,35,2x,3.354492,0.000000,6.708984,0.036621
2,10.026855,60,3x,3.354492,0.000000,10.063477,0.036621
2,13.432617,36,4x,3.354492,0.000000,13.417969,0.014648
3,0.417480,2,generator,0.417480,0.000000,0.417480,0.000000
3,1.237793,39,3x,0.417480,0.000000,1.252441,0.014648
3,1.677246,34,4x,0.417480,0.000000,1.669922,0.007324
3,2.167969,14,5x,0.417480,0.000000,2.087402,0.080566
3,2.534180,49,6x,0.417480,0.000000,2.504883,0.029297
3,3.054199,12,diff,3.354492,0.417480,2.937012,0.117188
3,3.354492,1,generator,3.354492,0.000000,3.354492,0.000000
3,3.771973,47,sum,3.354492,0.417480,3.771973,0.000000
3,6.745605,35,2x,3.354492,0.000000,6.708984,0.036621
3,8.547363,51,diff,0.417480,8.964844,8.547363,0.000000
3,8.964844,3,generator,8.964844,0.000000,8.964844,0.000000
3,9.418945,21,sum,0.417480,8.964844,9.382324,0.036621
3,10.026855,60,3x,3.354492,0.000000,10.063477,0.036621
3,12.253418,46,sum,3.354492,8.964844,12.319336,0.065918
3,13.432617,36,4x,3.354492,0.000000,13.417969,0.014648
4,0.417480,2,generator,0.417480,0.000000,0.417480,0.000000
4,0.607910,20,diff,3.354492,3.969727,0.615234,0.007324
4,1.237793,39,3x,0.417480,0.000000,1.252441,0.014648
4,1.677246,34,4x,0.417480,0.000000,1.669922,0.007324
4,2.167969,14,5x,0.417480,0.000000,2.087402,0.080566
4,2.534180,49,6x,0.417480,0.000000,2.504883,0.029297
4,3.054199,12,diff,3.354492,0.417480,2.937012,0.117188
4,3.354492,1,generator,3.354492,0.000000,3.354492,0.000000
4,3.508301,29,diff,0.417480,3.969727,3.552246,0.043945
4,3.640137,22,diff,0.417480,3.969727,3.552246,0.087891
4,3.771973,47,sum,3.354492,0.417480,3.771973,0.000000
4,3.969727,4,generator,3.969727,0.000000,3.969727,0.000000
4,4.372559,15,sum,0.417480,3.969727,4.387207,0.014648
