generator_count,observed_freq_hz,generator_rank,relation,source_a_hz,source_b_hz,predicted_hz,error_hz
1,3.354492,1,generator,3.354492,0.000000,3.354492,0.000000
2,0.417480,2,generator,0.417480,0.000000,0.417480,0.000000
2,1.237793,20,3x,0.417480,0.000000,1.252441,0.014648
2,1.677246,17,4x,0.417480,0.000000,1.669922,0.007324
2,2.167969,9,5x,0.417480,0.000000,2.087402,0.080566
2,3.054199,7,diff,3.354492,0.417480,2.937012,0.117188
2,3.354492,1,generator,3.354492,0.000000,3.354492,0.000000
3,0.417480,2,generator,0.417480,0.000000,0.417480,0.000000
3,0.607910,11,diff,3.354492,3.969727,0.615234,0.007324
3,1.237793,20,3x,0.417480,0.000000,1.252441,0.014648
3,1.677246,17,4x,0.417480,0.000000,1.669922,0.007324
3,2.167969,9,5x,0.417480,0.000000,2.087402,0.080566
3,3.054199,7,diff,3.354492,0.417480,2.937012,0.117188
3,3.354492,1,generator,3.354492,0.000000,3.354492,0.000000
3,3.640137,15,diff,0.417480,3.969727,3.552246,0.087891
3,3.969727,3,generator,3.969727,0.000000,3.969727,0.000000
3,4.372559,12,sum,0.417480,3.969727,4.387207,0.014648
3,12.004395,19,3x,3.969727,0.000000,11.909180,0.095215
4,0.417480,2,generator,0.417480,0.000000,0.417480,0.000000
4,0.607910,11,diff,3.354492,3.969727,0.615234,0.007324
4,0.959473,5,diff,0.417480,1.479492,1.062012,0.102539
4,1.237793,20,3x,0.417480,0.000000,1.252441,0.014648
4,1.479492,4,generator,1.479492,0.000000,1.479492,0.000000
4,1.677246,17,4x,0.417480,0.000000,1.669922,0.007324
4,1.904297,14,sum,0.417480,1.479492,1.896973,0.007324
4,2.167969,9,5x,0.417480,0.000000,2.087402,0.080566
4,3.054199,7,2x,1.479492,0.000000,2.958984,0.095215
4,3.354492,1,generator,3.354492,0.000000,3.354492,0.000000
4,3.640137,15,diff,0.417480,3.969727,3.552246,0.087891
4,3.969727,3,generator,3.969727,0.000000,3.969727,0.000000
4,4.372559,12,sum,0.417480,3.969727,4.387207,0.014648
4,4.511719,16,3x,1.479492,0.000000,4.438477,0.073242
4,4.753418,21,sum,3.354492,1.479492,4.833984,0.080566
4,5.427246,13,sum,3.969727,1.479492,5.449219,0.021973
4,8.964844,8,6x,1.479492,0.000000,8.876953,0.087891
4,12.004395,19,3x,3.969727,0.000000,11.909180,0.095215
5,0.417480,2,generator,0.417480,0.000000,0.417480,0.000000
5,0.607910,11,diff,3.354492,3.969727,0.615234,0.007324
5,0.959473,5,generator,0.959473,0.000000,0.959473,0.000000
5,1.237793,20,3x,0.417480,0.000000,1.252441,0.014648
5,1.479492,4,generator,1.479492,0.000000,1.479492,0.000000
5,1.677246,17,4x,0.417480,0.000000,1.669922,0.007324
5,1.904297,14,sum,0.417480,1.479492,1.896973,0.007324
5,2.167969,9,5x,0.417480,0.000000,2.087402,0.080566
5,3.054199,7,diff,3.969727,0.959473,3.010254,0.043945
5,3.354492,1,generator,3.354492,0.000000,3.354492,0.000000
5,3.640137,15,diff,0.417480,3.969727,3.552246,0.087891
