freq_hz,amplitude,prominence,generator_rank
0.417480,0.815226,0.768566,2
0.607910,0.168515,0.111430,11
0.959473,0.295324,0.257828,5
1.237793,0.095072,0.055552,20
1.479492,0.366014,0.330448,4
1.677246,0.100956,0.054262,17
1.904297,0.155261,0.108971,14
2.167969,0.194694,0.162546,9
3.054199,0.262050,0.184750,7
3.354492,1.476313,1.447044,1
3.640137,0.149620,0.095561,15
3.969727,0.441847,0.407500,3
4.372559,0.163954,0.127067,12
4.511719,0.102896,0.069247,16
4.753418,0.092439,0.067844,21
5.427246,0.155931,0.134796,13
6.342773,0.273180,0.253110,6
6.496582,0.190799,0.061688,10
8.964844,0.235133,0.225099,8
11.308594,0.100125,0.092500,18
12.004395,0.099470,0.089998,19
