relation,parent_a_hz,parent_b_hz,child_target_hz,child_peak_hz,parent_a_amp,parent_b_amp,child_amp,child_prom,match_error_hz,b_sq,phase_lock,surrogate_p,alpha_abs,beta_abs,start_s,stop_s,score
sum,0.417480,3.969727,4.387207,4.372559,1.203594,0.786742,0.330247,0.260413,0.014648,0.672561,0.912871,0.121951,1.482695e-01,0.820098,399.990,499.990,0.195024
2x,1.479492,1.479492,2.958984,2.966309,0.638082,0.638082,0.424079,0.208331,0.007324,0.581296,0.779678,0.268293,5.348547e-01,0.762428,349.990,449.990,0.180377
2x,0.417480,0.417480,0.834961,0.856934,1.203594,1.203594,0.218358,0.121428,0.021973,0.831918,0.904543,0.024390,3.849869e-02,0.912095,74.990,174.990,0.177225
sum,0.417480,8.964844,9.382324,9.418945,1.203594,1.175262,0.257431,0.181786,0.036621,0.680900,0.650604,0.048780,6.091285e-02,0.825167,99.990,199.990,0.166734
sum,0.417480,6.423340,6.840820,6.870117,1.203594,0.590901,0.178967,0.066241,0.029297,0.912122,0.581227,0.024390,4.417663e-02,0.955051,149.990,249.990,0.159258
sum,0.417480,6.269531,6.687012,6.745605,1.203594,0.662996,0.176765,0.080431,0.080566,0.918485,0.577930,0.048780,9.091951e-02,0.958376,199.990,299.990,0.154436
sum,3.969727,1.479492,5.449219,5.427246,0.786742,0.638082,0.376515,0.323906,0.021973,0.553311,0.615808,0.390244,6.890298e-01,0.743849,149.990,249.990,0.127030
sum,0.417480,6.342773,6.760254,6.745605,1.203594,0.778967,0.176765,0.080431,0.014648,0.753509,0.390274,0.073171,1.157807e-01,0.868049,399.990,499.990,0.123448
2x,3.969727,3.969727,7.939453,7.946777,0.786742,0.786742,0.152169,0.098152,0.007324,0.795322,0.972296,0.024390,4.471814e-02,0.891808,149.990,249.990,0.118072
sum,3.354492,6.342773,9.697266,9.726563,2.441997,0.778967,0.160329,0.083362,0.029297,0.687615,0.735414,0.195122,7.253096e-02,0.829225,149.990,249.990,0.088733
sum,8.964844,3.969727,12.934570,12.927246,1.175262,0.786742,0.223262,0.108648,0.007324,0.578121,0.249773,0.317073,6.777957e-02,0.760342,74.990,174.990,0.088147
sum,3.354492,8.964844,12.319336,12.253418,2.441997,1.175262,0.145699,0.061543,0.065918,0.701336,0.591424,0.146341,6.261669e-02,0.837458,249.990,349.990,0.087230
sum,3.354492,6.269531,9.624023,9.543457,2.441997,0.662996,0.166380,0.079136,0.058594,0.592307,0.587186,0.121951,2.044584e-02,0.769615,199.990,299.990,0.086530
