stage,relation,source_a,source_b,source_a_hz,source_b_hz,child_hz,matched_peak_hz,matched_peak_amp,matched_peak_prom,match_error_hz,max_bicoherence,best_phase_lock,surrogate_p,best_start_s,best_stop_s,passes
stage1,sum,f0.41,f16.6,0.409747,16.616684,17.026431,17.077649,0.216076,0.037677,0.051218,0.904746,0.247099,0.090909,499.996,599.996,1
stage1,2x,f0.41,f0.41,0.409747,0.409747,0.819493,0.856078,0.536283,0.336482,0.036585,0.902528,0.460723,0.090909,499.996,599.996,1
stage1,sum,f8.96,f12.0,8.955888,11.985085,20.940973,20.919022,0.225655,0.042034,0.021951,0.898670,0.268684,0.090909,499.996,599.996,1
stage1,sum,f0.41,f8.96,0.409747,8.955888,9.365634,9.431486,0.392269,0.203258,0.065852,0.893374,0.247754,0.090909,499.996,599.996,1
stage1,2x,f8.96,f8.96,8.955888,8.955888,17.911776,17.911776,0.281632,0.110277,0.000000,0.864184,0.145963,0.090909,499.996,599.996,1
stage1,sum,f6.45,f16.6,6.490092,16.616684,23.106776,23.077508,0.250466,0.033344,0.029268,0.786782,0.681776,0.090909,499.996,599.996,1
stage1,sum,f0.41,f3.35,0.409747,3.351141,3.760888,3.651134,0.263932,0.091406,0.109754,0.691859,0.524658,0.181818,499.996,599.996,0
stage1,sum,f0.41,f12.0,0.409747,11.985085,12.394832,12.380198,0.293172,0.071182,0.014634,0.682511,0.225295,0.090909,349.996,449.996,1
stage1,diff,f16.6,f0.41,0.409747,16.616684,16.206938,16.243522,0.291247,0.086881,0.036585,0.650977,0.301629,0.181818,499.996,599.996,0
stage1,diff,f16.6,f12.0,11.985085,16.616684,4.631599,4.668183,0.279464,0.035476,0.036585,0.646821,0.342686,0.090909,499.996,599.996,1
stage1,diff,f16.6,f8.96,8.955888,16.616684,7.660796,7.565677,0.232785,0.078769,0.095120,0.639116,0.069123,0.090909,499.996,599.996,1
stage1,diff,f8.96,f3.35,3.351141,8.955888,5.604747,5.516944,0.305361,0.032412,0.087803,0.618842,0.276079,0.090909,499.996,599.996,1
stage1,diff,f12.0,f0.41,0.409747,11.985085,11.575339,11.516804,0.228022,0.064356,0.058535,0.607643,0.038796,0.090909,399.996,499.996,1
stage1,sum,f6.45,f12.0,6.490092,11.985085,18.475177,18.423959,0.296407,0.140344,0.051218,0.587342,0.234591,0.090909,349.996,449.996,1
stage1,diff,f12.0,f6.45,6.490092,11.985085,5.494993,5.516944,0.305361,0.032412,0.021951,0.569565,0.204541,0.090909,349.996,449.996,1
stage1,diff,f8.96,f0.41,0.409747,8.955888,8.546141,8.590043,0.278280,0.031020,0.043901,0.531207,0.393090,0.363636,499.996,599.996,0
stage1,sum,f0.41,f6.45,0.409747,6.490092,6.899838,6.958374,0.443003,0.283648,0.058535,0.512434,0.233780,0.181818,99.996,199.996,0
stage1,sum,f8.96,f16.6,8.955888,16.616684,25.572572,25.455502,0.214012,0.046260,0.117070,0.483431,0.235421,0.454545,499.996,599.996,0
