family_label,repr_hz,repr_amp,best_incoming_edge,best_outgoing_edge,incoming_reproducible_count,outgoing_reproducible_count,incoming_edge_count,outgoing_edge_count
F01,3.371803977273755,1.7955202778204191,nan,0.058272144101345194,0,0,0,7
F02,3.965465198864866,0.602146666999927,nan,0.0812671509700445,0,1,0,12
F15,8.96164772727553,0.32686204024936544,0.024839965862026643,0.3235251254199565,0,3,2,11
F07,6.35555752841107,0.22609236997822954,nan,0.0492812113082653,0,1,0,8
F03,4.190784801137673,0.20718764924406707,nan,0.32400108476513756,0,2,0,12
F14,8.820223721593663,0.1543070136691137,0.0812671509700445,0.32400108476513756,0,3,3,10
F06,5.415660511365317,0.12009695345137623,nan,0.2001089898914594,0,0,0,11
F04,4.7921697443197235,0.0797262285285576,nan,0.369197227304957,0,4,0,14
F16,9.40669389204844,0.07883255131059802,-0.06455433610780908,0.12991112817104677,0,3,1,10
F05,4.902965198865155,0.0781743671871374,nan,0.2655071594264614,0,3,0,11
F17,11.311257102276267,0.06329859979121778,0.04082001813901884,0.15732084702756197,0,2,3,6
F18,12.05273437500379,0.05795265966554599,0.041824094984086624,0.12991112817104677,1,1,2,5
F20,13.04856178977678,0.04924068860410876,0.32400108476513756,0.032714607782640806,3,0,4,5
F08,6.888760653411199,0.04663567998951269,nan,0.0013228164895802488,0,0,0,5
F21,13.208895596595026,0.04583265059123541,0.2001089898914594,0.03542374995500186,0,0,6,2
F10,7.712269176138788,0.04288764666822365,nan,0.20089320977165195,0,3,0,12
F11,7.890713778411583,0.041594555650669995,-0.05507377204054914,0.369197227304957,0,3,1,9
F09,6.993696732956727,0.04001161824899287,nan,0.14224578244415648,0,1,0,7
F12,8.026544744320685,0.0396103718989716,-0.0411553284954773,0.3685781212228537,0,7,1,9
F19,12.60697798295853,0.03681836618996346,0.369197227304957,0.023792297457323988,1,0,5,5
F13,8.402077414775336,0.02965077260288944,-0.04833777985354622,0.22255734380442185,0,2,1,8
F30,21.401633522733952,0.020516608973005925,0.12991112817104677,nan,1,0,8,0
F22,13.651544744322445,0.016851674341484213,0.08455830184290086,0.03781996118177386,0,0,4,5
F33,23.157848011370874,0.013581697296790683,0.1231289133207187,nan,4,0,7,0
F27,16.59774502841427,0.012286209833829302,0.20089320977165195,0.028320707950142826,2,0,5,4
F25,15.939897017050477,0.0121089415926691,0.3685781212228537,-0.029766339052411717,2,0,6,3
F26,16.049893465914103,0.011993357807503005,0.3088996869216925,-0.02730032043262863,3,0,6,3
F28,18.36434659091484,0.0109797196873844,0.14224578244415648,0.07966854114935057,1,2,6,3
F29,20.75710227273378,0.010554470813935674,0.028320707950142826,-0.08567859844026396,0,0,8,1
F23,14.242808948868063,0.009130935083498161,0.08346535854927467,0.1231289133207187,3,3,4,6
F24,14.707031250004631,0.008170907238442923,0.0013228164895802488,-0.0115027839843727,0,0,6,3
F31,21.895951704552324,0.006224816536205332,0.01684633896687334,-0.06291240680218788,0,0,5,2
F32,22.597745028416167,0.006124185622666188,0.10012762362825599,-0.019229273412727347,1,0,6,1
F34,28.853959517054484,0.0038774188684715786,-0.019229273412727347,nan,0,0,5,0
