family_label,repr_hz,repr_amp,outgoing_count,best_incoming_relation,best_incoming_kind,best_incoming_excess,best_incoming_obs,best_incoming_null95,parent_amp_proxy,child_to_parent_amp_ratio
F01,3.371803977273755,1.7955202778204191,3,,,nan,nan,nan,nan,nan
F02,3.965465198864866,0.602146666999927,4,,,nan,nan,nan,nan,nan
F15,8.96164772727553,0.32686204024936544,4,F03 + F04,pair,-0.020400121157967743,0.02968289944555568,0.050083020603523425,0.12852349929848286,2.5432083784947475
F07,6.35555752841107,0.22609236997822954,1,,,nan,nan,nan,nan,nan
F03,4.190784801137673,0.20718764924406707,6,,,nan,nan,nan,nan,nan
F14,8.820223721593663,0.1543070136691137,4,F01 + F06,pair,-0.031230499106377912,0.01390401049936461,0.04513450960574252,0.4643667895386157,0.33229554125184024
F06,5.415660511365317,0.12009695345137623,0,,,nan,nan,nan,nan,nan
F04,4.7921697443197235,0.0797262285285576,4,,,nan,nan,nan,nan,nan
F16,9.40669389204844,0.07883255131059802,3,F02 + F06,pair,-0.06455433610780908,0.0252484999659165,0.08980283607372558,0.26891630712471043,0.29314901782449093
F05,4.902965198865155,0.0781743671871374,3,,,nan,nan,nan,nan,nan
F17,11.311257102276267,0.06329859979121778,2,F01 + F11,pair,0.04082001813901884,0.1368396284803679,0.09601961034134907,0.2732834940454836,0.2316224769165267
F18,12.05273437500379,0.05795265966554599,3,F02 + F12,pair,0.014271587312232152,0.0756178054694585,0.061346218157226344,0.1544385101507824,0.3752474665092617
